end_station_name,num
"Concert Hall Approach 2, South Bank",34149
"Bricklayers Arms, Borough",34095
"Roscoe Street, St. Luke's",34074
"Sardinia Street, Holborn",34032
"Walworth Road, Elephant & Castle",33949
"Haggerston Road, Haggerston",33890
"Millbank Tower, Pimlico",33878
"Grosvenor Square, Mayfair",33777
"Empire Square, The Borough",33770
"Palace Gardens Terrace, Notting Hill",33740
"Drummond Street , Euston",33631
"Shadwell Station, Shadwell",33594
"Charlotte Street, Fitzrovia",33591
"Waterloo Road, South Bank",33557
"Ada Street, Hackney Central",33517
"LMU Commercial Road, Whitechapel",33466
"Stepney Green Station, Stepney",33457
"Turquoise Island, Notting Hill",33410
"Commercial Street, Shoreditch",33332
"The Green Bridge, Mile End",33147
"Prince Consort Road, Knightsbridge",33106
"Bell Lane, Liverpool Street",33058
"Torrens Street, Angel",32952
"Barbican Centre, Barbican",32842
"Hammersmith Road, Hammersmith",32735
"Beaumont Street, Marylebone",32710
"Tachbrook Street, Victoria",32372
"Fisherman's Walk West, Canary Wharf",32307
"Pitfield Street North,Hoxton",32241
"Wapping Lane, Wapping",32221
"Farringdon Lane, Clerkenwell",32215
"Gloucester Street, Pimlico",32201
"St. Martin's Street, West End",32196
"Barons Court Station, West Kensington",32104
"Queen's Gate (South), South Kensington",32024
"Fore Street, Guildhall",31933
"Old Brompton Road, South Kensington",31807
"Baldwin Street, St. Luke's",31800
"Tavistock Place, Bloomsbury",31769
"Wenlock Road , Hoxton",31699
"Lower Marsh, Waterloo",31681
"Jewry Street, Aldgate",31679
"Green Street, Mayfair",31487
"North Audley Street, Mayfair",31485
"New Cavendish Street, Marylebone",31484
"Vicarage Crescent, Battersea",31484
"Albert Bridge Road, Battersea Park",31350
"Twig Folly Bridge, Mile End",31303
"Gower Place , Euston",31206
"Crawford Street, Marylebone",31161
"Kennington Oval, Oval",31086
"Butler Place, Westminster",31043
"Ontario Street, Elephant & Castle",30890
"Crisp Road, Hammersmith",30758
"Columbia Road, Shoreditch",30698
"Concert Hall Approach 1, South Bank",30674
"Bury Place, Holborn",30634
"Ilchester Gardens, Bayswater",30438
"Penywern Road, Earl's Court",30412
"Hertford Road, De Beauvoir Town",30267
"Portman Square, Marylebone",30164
"Snowsfields, London Bridge",29938
"Euston Road, Euston",29880
"Charles II Street, West End",29879
"Newton Street, Covent Garden",29732
"St. George Street, Mayfair",29727
"Normand Park, West Kensington",29725
"Manresa Road, Chelsea",29541
"Eastbourne Mews, Paddington",29500
"Ebury Bridge, Pimlico",29475
"St. Peter's Terrace, Fulham",29439
"The Tennis Courts, The Regent's Park",29353
"Alderney Street, Pimlico",29229
"Caldwell Street, Stockwell",29083
"Swan Street, The Borough",29047
"Union Street, The Borough",28959
"Crinan Street, King's Cross",28944
"Christian Street, Whitechapel",28939
"Great Percy Street, Clerkenwell",28867
"Bishop's Bridge Road West, Bayswater",28720
"Royal Avenue 2, Chelsea",28708
"Parkway, Camden Town",28693
"Clifton Road, Maida Vale",28683
"Grant Road East, Clapham Junction",28639
"Olympia Way, Olympia",28544
"Blenheim Crescent, Ladbroke Grove",28487
"Bell Street , Marylebone",28475
"Borough High Street, The Borough",28352
"Red Lion Square, Holborn",28293
"Reardon Street, Wapping",28287
"Westfield Library Corner, Shepherd's Bush",28248
"Queen's Gate (North), Kensington",28200
"Old Ford Road, Bethnal Green",28084
"Pont Street, Knightsbridge",28083
"Wood Street, Guildhall",28068
"Chesilton Road, Fulham",27974
"Wandsworth Town Station, Wandsworth",27955
"Southwick Street, Paddington",27933
"Coomer Place, West Kensington",27919
"St. Katharine's Way, Tower",27915
"Prince Albert Road, The Regent's Park",27829
"Scala Street, Fitzrovia",27801
"Fashion Street, Whitechapel",27740
"Cephas Street, Bethnal Green",27726
"East Road, Hoxton",27645
"Phene Street, Chelsea",27500
"Chelsea Bridge, Pimlico",27334
"City Road, Angel",27251
"Podium, Queen Elizabeth Olympic Park",27225
"Saunders Ness Road, Cubitt Town",27162
"Percival Street, Finsbury",26954
"Lansdowne Road, Ladbroke Grove",26935
"Southwark Station 1, Southwark",26931
"Queen's Gate (Central), South Kensington",26901
"Park Street, Bankside",26827
"Maclise Road, Olympia",26825
"Gloucester Avenue, Camden Town",26757
"Northdown Street, King's Cross",26713
"Archbishop's Park, Waterloo",26686
"New Road 1 , Whitechapel",26686
"Danvers Street, West Chelsea",26675
"Driffield Road, Old Ford",26631
"Long Lane , Bermondsey",26617
"Windsor Terrace, Hoxton",26579
"Westbourne Grove, Bayswater",26426
"Clifford Street, Mayfair",26407
"The Guildhall, Guildhall",26365
"Goldsmith's Row, Haggerston",26122
"St. Luke's Church, Chelsea",26005
"Baker Street, Marylebone",25943
"Great Suffolk Street, The Borough",25910
"Rodney Road , Walworth",25875
"Nutford Place, Marylebone",25840
"Harrington Square 2, Camden Town",25827
"Arlington Road, Camden Town",25741
"Bedford Way, Bloomsbury",25704
"Albert Gardens, Stepney",25574
"Clinton Road, Mile End",25553
"Finsbury Library , Finsbury",25534
"Putney Bridge Station, Fulham",25464
"Gunmakers Lane, Old Ford",25403
"Philpot Street, Whitechapel",25392
"Bridge Avenue, Hammersmith",25345
"De Vere Gardens, Kensington",25337
"High Holborn , Covent Garden",25319
"Wellington Row, Bethnal Green",25286
"Westminster University, Marylebone",25244
"Knightsbridge, Hyde Park",25200
"Margery Street, Clerkenwell",24959
"Sutton Street, Shadwell",24896
"Hereford Road, Bayswater",24891
"Globe Town Market, Bethnal Green",24856
"Durant Street, Bethnal Green",24835
"Edgware Road Station, Marylebone",24784
"King Edward Street, St Pauls",24768
"Kennington Road  , Vauxhall",24750
"Foley Street, Fitzrovia",24653
"Curzon Street, Mayfair",24596
"Upper Bank Street, Canary Wharf",24476
"Finlay Street, Fulham",24425
"Rainville Road, Hammersmith",24361
"North Wharf Road, Paddington",24342
"Great Dover Street, The Borough",24316
"Greyhound Road, Hammersmith",24313
"Pancras Road, King's Cross",24278
"Seymour Place, Marylebone",24255
"Bethnal Green Garden, Bethnal Green",24230
"Royal College Street, Camden Town",24222
"Ampton Street , Clerkenwell",24170
"Black Prince Road, Vauxhall",24156
"Bruton Street, Mayfair",24140
"Albert Embankment, Vauxhall",24107
"Gloucester Road (Central), South Kensington",24099
"Furze Green, Bow",24041
"Tyers Gate, Bermondsey",24039
"Knaresborough Place, Earl's Court",24025
"Simpson Street, Clapham Junction",24023
"West Cromwell Road, Earl's Court",24009
"Royal Avenue 1, Chelsea",23988
"Paddington Street, Marylebone",23856
"Waterloo Bridge, South Bank",23810
"Garnet Street, Shadwell",23798
"Warwick Square, Pimlico",23779
"Rathbone Street, Fitzrovia",23751
"Eaton Square, Belgravia",23700
"Salmon Lane, Limehouse",23671
"Bow Road Station, Bow",23655
"World's End Place, West Chelsea",23596
"Sandilands Road, Walham Green",23543
"Lexham Gardens, Kensington",23493
"Doddington Grove, Kennington",23477
"London Zoo Car Park, The Regent's Park",23468
"Macclesfield Rd, St Lukes",23465
"Regency Street, Westminster",23431
"Westbourne Park Road, Portobello",23378
"Emperor's Gate, South Kensington",23377
"Hartington Road, Stockwell",23368
"Ormonde Gate, Chelsea",23283
"The Vale, West Chelsea",23245
"Grove End Road, St. John's Wood",23232
"St. Mark's Road, North Kensington",23225
"Harcourt Terrace, West Brompton",23072
"Lambeth North Station, Waterloo",23049
"Prince of Wales Drive, Battersea Park",23040
"Shouldham Street, Marylebone",22982
"Michael Road, Walham Green",22954
"Park Lane, Mayfair",22953
"Hoxton Station, Hoxton",22893
"New Kent Road, The Borough",22748
"Vincent Street, Pimlico",22707
"Jubilee Street, Stepney",22593
"Riverlight North, Nine Elms",22548
"Woodstock Street, Mayfair",22455
"Chancery Lane, Holborn",22410
"Rochester Row, Westminster",22389
"Chepstow Villas, Notting Hill",22382
"Hampton Street, Walworth",22350
"Warwick Road, Olympia",22300
"Watney Market, Stepney",22297
"Battersea Church Road, Battersea",22272
"George Place Mews, Marylebone",22044
"Kensington Gore, Knightsbridge",21947
"Queen Mary's, Mile End",21934
"Falkirk Street, Hoxton",21897
"Cadogan Place, Knightsbridge",21866
"Union Grove, Wandsworth Road",21860
"Trebovir Road, Earl's Court",21785
"Lower Thames Street, Monument",21769
"Fulham Park Road, Fulham",21755
"Cleveland Way, Stepney",21743
"William Morris Way, Sands End",21737
"Strata, Elephant & Castle",21690
"Mile End Stadium, Mile End",21663
"St. John's Road, Clapham Junction",21660
"Houndsditch, Aldgate",21637
"Fanshaw Street, Hoxton",21576
"Lambeth Palace Road, Waterloo",21520
"Clifton Street, Shoreditch",21415
"Tate Modern, Bankside",21327
"Colombo Street, Southwark",21314
"St. John Street, Finsbury",21253
"Argyll Road, Kensington",21183
"Chelsea Green, Chelsea",21152
"Bishop's Avenue, Fulham",21150
"Millennium Hotel, Mayfair",21056
"South Park, Sands End",21034
"Austin Road, Battersea Park",20958
"Brook Green South, Brook Green",20922
"Imperial Road, Sands End",20895
"Richmond Way, Shepherd's Bush",20831
"Aintree Street, Fulham",20825
"Surrey Lane, Battersea",20682
"London Zoo,  The Regent's Park",20674
"Gloucester Terrace, Bayswater",20621
"Mile End Park Leisure Centre, Mile End",20607
"Nevern Place, Earl's Court",20585
"Pembridge Villas, Notting Hill",20503
"Bancroft Road, Bethnal Green",20447
"Wapping High Street, Wapping",20442
"Osiers Road, Wandsworth",20426
"Ravenscourt Park Station, Hammersmith",20334
"Goswell Road (City Uni), Finsbury",20313
"Shoreditch Court, Haggerston",20286
"Lollard Street, Vauxhall",20281
"Hortensia Road, West Brompton",20229
"Albany Street, The Regent's Park",20221
"Vereker Road North, West Kensington",20204
"Kennington Lane Tesco, Vauxhall",20122
"Humbolt Road, Fulham",19955
"Disraeli Road, Putney",19858
"Westfield Southern Terrace ,Shepherd's Bush",19850
"Ram Street, Wandsworth",19848
"Montgomery Square, Canary Wharf",19774
"Cheshire Street, Bethnal Green",19771
"Silverthorne Road, Battersea",19739
"Grafton Street, Mayfair",19729
"West Kensington Station, West Kensington",19447
"Wandsworth Rd, Isley Court, Wandsworth Road",19444
"Antill Road, Mile End",19436
"Good's Way, King's Cross",19435
"Cleveland Gardens, Bayswater",19403
"Stanhope Gate, Mayfair",19401
"Guildhouse Street, Victoria",19302
"Bourne Street, Belgravia",19269
"Vauxhall Walk, Vauxhall",19267
"Belgrave Square, Belgravia",19243
"Borough Road, Elephant & Castle",19190
"Hammersmith Town Hall, Hammersmith",19187
"Lots Road, West Chelsea",19171
"South Lambeth Road, Vauxhall",19168
"Abingdon Villas, Kensington",19098
"Sumner Place, South Kensington",19086
"Vauxhall Bridge , Pimlico",19074
"Cloudesley Road, Angel",18929
"Claverton Street, Pimlico",18898
"Felsham Road, Putney",18898
"Charing Cross Hospital, Hammersmith",18848
"Finnis Street, Bethnal Green",18796
"Thorndike Close, West Chelsea",18754
"Collingham Gardens, Earl's Court",18745
"Central House, Aldgate",18707
"Alfreda Street, Battersea Park",18704
"Hoxton Street, Hoxton",18691
"Beryl Road, Hammersmith",18659
"LSBU (Borough Road), Elephant & Castle",18628
"Breams Buildings, Holborn",18605
"Kennington Station, Kennington",18603
"All Saints' Road, Portobello",18476
"Eel Brook Common, Walham Green",18437
"Hollybush Gardens, Bethnal Green",18432
"Ashley Crescent, Battersea",18431
"Shepherd's Bush Road North, Shepherd's Bush",18361
"Bow Church Station, Bow",18350
"Lavington Street, Bankside",18296
"Harford Street, Mile End",18273
"Crabtree Lane, Fulham",18249
"Hardwick Street, Clerkenwell",18245
"Battersea Park Road, Nine Elms",18244
"Upcerne Road, West Chelsea",18192
"Everington Street, Fulham",18136
"Eaton Square (South), Belgravia",17998
"Webber Street , Southwark",17983
"Eversholt Street , Camden Town",17892
"BBC White City, White City",17809
"Mostyn Grove, Bow",17798
"Walnut Tree Walk, Vauxhall",17797
"Lambeth Road, Vauxhall",17678
"Palissy Street, Shoreditch",17520
"Queensbridge Road, Haggerston",17507
"Star Road, West Kensington",17493
"Kennington Road Post Office, Oval",17445
"Carnegie Street, King's Cross",17439
"Imperial Wharf Station, Sands End",17401
"Carey Street, Holborn",17371
"Melton Street, Euston",17357
"Ford Road, Old Ford",17312
"Irene Road, Parsons Green",17260
"Murray Grove , Hoxton",17204
"Hansard Mews, Holland Park",17150
"Houghton Street, Strand",17149
"The Vale, Chelsea",17124
"Gaywood  Street, Elephant & Castle",16936
"Princedale Road , Holland Park",16931
"Whiston Road, Haggerston",16925
"Harrowby Street, Marylebone",16829
"Rectory Square, Stepney",16810
"Greycoat Street , Westminster",16806
"Longford Street, The Regent's Park",16640
"Blackfriars Road, Southwark",16572
"Burdett Road, Mile End",16548
"Hermitage Court, Wapping",16546
"Wellington Road, St. John's Wood",16530
"Birkenhead Street, King's Cross",16520
"Holland Park, Kensington",16401
"Vincent Square, Westminster",16352
"Ashmole Estate, Oval",16320
"Lindfield Street, Poplar",16300
"Charlotte Terrace, Angel",16297
"South Audley Street, Mayfair",16227
"Pitfield Street Central, Hoxton",16208
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",16186
"South Parade, Chelsea",16171
"Ansell House, Stepney",16150
"St. John's Wood Road, St. John's Wood",16012
"Wendon Street, Old Ford",15986
"Victoria & Albert Museum, South Kensington",15886
"Bishop's Bridge Road East, Bayswater",15881
"Hewison Street, Old Ford",15862
"Courland Grove, Wandsworth Road",15834
"Aylward Street, Stepney",15807
"Portugal Street, Holborn",15803
"Sopwith Way, Battersea Park",15730
"Charlbert Street, St. John's Wood",15728
"Aberdeen Place, St. John's Wood",15709
"East Village, Queen Elizabeth Olympic Park",15674
"Dorothy Road, Clapham Junction",15567
"Southerton Road, Hammersmith",15467
"Buxton Street 1, Shoreditch",15456
"Farm Street, Mayfair",15371
"Rossmore Road, Marylebone",15307
"Vaughan Way, Wapping",15230
"Gwendwr Road, West Kensington",15173
"Sancroft Street, Vauxhall",15170
"Monier Road, Hackney Wick",15092
"Clarence Walk, Stockwell",15018
"Denyer Street, Knightsbridge",14952
"Princes Square, Bayswater",14822
"Grosvenor Road, Pimlico",14791
"Chrisp Street Market, Poplar",14774
"Putney Pier, Wandsworth",14715
"St. John's Wood Church, The Regent's Park",14632
"Devons Road, Bow",14613
"Little Brook Green, Brook Green",14535
"Lightermans Road, Millwall",14461
"Kensington Olympia Station, Olympia",14457
"Sail Street, Vauxhall",14444
"Belford House, Haggerston",14440
"One Tower Bridge, Bermondsey",14428
"Sheepcote Lane, Battersea",14403
"Smugglers Way, Wandsworth",14365
"Kensington Town Hall, Kensington",14360
"Neville Gill Close, Wandsworth",14360
"River Street , Clerkenwell",14341
"Hawley Crescent, Camden Town",14136
"Manbre Road, Hammersmith",14099
"East India DLR, Blackwall",14087
"Grosvenor Crescent, Belgravia",14039
"Southern Grove, Bow",14004
"Timber Lodge, Queen Elizabeth Olympic Park",13915
"Cotton Garden Estate, Kennington",13861
"Claremont Square, Angel",13836
"Blythe Road West, Shepherd's Bush",13701
"Stainsby Road , Poplar",13668
"Orbel Street, Battersea",13523
"Calshot Street , King's Cross",13424
"Usk Road, Clapham Junction",13403
"Stratford Station, Stratford",13315
"New North Road 2, Hoxton",13263
"Lisson Grove, St. John's Wood",13202
"Cleaver Street, Kennington",13162
"Marloes Road, Kensington",12993
"Paddington Green Police Station, Paddington",12969
"Clarkson Street, Bethnal Green",12720
"Ranelagh Gardens, Fulham",12685
"Risinghill Street, Angel",12551
"Dock Street, Wapping",12448
"Harper Road, The Borough",12378
"Dickens Square, Borough",12246
"Montserrat Road , Putney",12221
"Heron Quays DLR, Canary Wharf",12221
"Westfield Ariel Way, White City",12188
"Abyssinia Close, Clapham Junction",12164
"Frampton Street, Paddington",12048
"Clapham Common North side, Clapham Common",11973
"Sugden Road, Clapham",11908
"Napier Avenue, Millwall",11878
"Spindrift Avenue, Millwall",11876
"Queen Street, Bank",11784
"Copper Box Arena, Queen Elizabeth Olympic Park",11751
"Clarendon Road, Avondale",11618
"Vicarage Gate, Kensington",11578
"Halford Road, West Kensington",11298
"Elysium Place, Fulham",11251
"Vauxhall Street, Vauxhall",11231
"Belvedere Road 1, South Bank",11219
"Hampstead Road (Cartmel), Euston",11206
"Aston Street, Stepney",11035
"Canton Street, Poplar",11004
"Russell Gardens, Olympia",10954
"Campden Hill Road, Notting Hill",10951
"Penfold Street, Marylebone",10944
"Thurtle Road, Haggerston",10839
"Clarges Street, Mayfair",10816
"Northfields, Wandsworth",10815
"Hibbert Street, Battersea",10811
"Teversham Lane, Stockwell",10761
"Pennington Street, Wapping",10696
"Selby Street, Whitechapel",10540
"Broadley Terrace, Marylebone",10527
"Addison Road, Holland Park",10494
Imperial Wharf Station,10380
"Walmer Road, Avondale",10376
"Westferry Circus, Canary Wharf",10290
"Lincoln's Inn Fields, Holborn",10248
"Putney Rail Station, Putney",10191
"Killick Street, King's Cross",10123
"Stanley Grove, Battersea",10111
"Bradmead, Battersea Park",10003
"Culvert Road, Battersea",9886
"Grenfell Road, Avondale",9856
"Southwark Street, Bankside",9855
"Upper Grosvenor Street, Mayfair",9598
"Cromer Street, Bloomsbury",9572
"Alpha Grove, Millwall",9529
"King Edward Walk, Waterloo",9418
"Rifle Place, Avondale",9409
"Plough Terrace, Clapham Junction",9391
"Kings Gate House, Westminster",9306
"St Martins Close, Camden Town",9286
"Clapham Common North Side, Clapham Common",9278
"Peterborough Road, Sands End",9196
"Ossulston Street, Somers Town",9036
"Ackroyd Drive, Bow",8974
"Geraldine Street, Elephant & Castle",8950
"Abbotsbury Road, Holland Park",8906
"Green Park Station, West End",8902
"Hurlingham Park, Parsons Green",8862
"Heath Road, Battersea",8670
"East Ferry Road, Cubitt Town",8593
"Westminster Bridge Road, Elephant & Castle",8556
"Jubilee Crescent, Cubitt Town",8422
"Putney Bridge Road, East Putney",8414
"Oval Way, Vauxhall",8389
"Naval Row, Blackwall",8300
"Lancaster Drive, Blackwall",8176
"Mallory Street, Marylebone",8141
"Coram Street, Bloomsbury",8112
"Holden Street, Battersea",8102
"Newby Place, Poplar",8080
"Bevington Road West, North Kensington",8070
"Paddington Green, Paddington",8057
"Albert Square, Stockwell",8041
"Riverlight South, Nine Elms",7984
"Embankment (Horse Guards), Westminster",7981
"Ilchester Place, Kensington",7969
"New North Road 1, Hoxton",7968
"Broomhouse Lane, Parsons Green",7874
"Freston Road, Avondale",7777
"Bromley High Street, Bow",7761
"Alma Road, Wandsworth",7723
"Thessaly Road North, Wandsworth Road",7617
"Cantrell Road, Bow",7508
"Evesham Street, Avondale",7406
"Mudchute DLR, Cubitt Town",7265
"Clapham Road, Lingham Street, Stockwell",7262
"Orsett Terrace, Bayswater",7224
"Upper Richmond Road, Putney",7152
"Hibbert Street, Clapham Junction",7111
"Greenberry Street, St.John's Wood",7099
"Belvedere Road 2, South Bank",7079
"Vereker Road, West Kensington",7027
"Queensdale Road, Shepherd's Bush",7006
"Harrington Square 1, Camden Town",6870
"Exhibition Road Museums, Knightsbridge",6770
"Stebondale Street, Cubitt Town",6750
"Sirdar Road, Avondale",6645
"Preston's Road, Cubitt Town",6631
"Langdon Park, Poplar",6585
"Rodney Street, Angel",6485
"Handyside Street, King's Cross",6464
"Ingrave Street, Clapham Junction",6341
"Abingdon Green, Great College Street",6160
"Stewart's Road, Wandsworth Road",6123
"Oxford Road, Putney",6046
"Spencer Park, Wandsworth Common",6037
"St. Mary & St. Michael Church, Stepney",6024
"Morie Street, Wandsworth",5883
"New Spring Gardens Walk, Vauxhall",5741
"Lord's, St. John's Wood",5728
