start_station_name,num
"Elizabeth Bridge, Victoria",47226
"St. Bride Street, Holborn",47129
"Poured Lines, Bankside",46919
"Wells Street, Fitzrovia",46795
"Cumberland Gate, Hyde Park",46785
"Belvedere Road, South Bank",46712
"Northumberland Avenue, Strand",46700
"Sedding Street, Sloane Square",46680
"Bouverie Street, Temple",46222
"Somerset House, Strand",46149
"Kennington Cross, Kennington",46016
"Bayley Street , Bloomsbury",45844
"Old Quebec Street, Marylebone",45578
"Boston Place, Marylebone",45237
"New Fetter Lane, Holborn",45236
"Wellington Street , Strand",45158
"Pritchard's Road, Bethnal Green",45137
"Milroy Walk, South Bank",44967
"Granby Street, Shoreditch",44716
"Westbridge Road, Battersea",44653
"Bolsover Street, Fitzrovia",44379
"Hinde Street, Marylebone",44003
"Guilford Street , Bloomsbury",43991
"Sadlers Sports Centre, Finsbury",43960
"Shoreditch Park, Hoxton",43849
"Falcon Road, Clapham Junction",43791
"Castlehaven Road, Camden Town",43786
"Waterloo Place, St. James's",43673
"Exhibition Road Museums, South Kensington",43377
"Queen Mother Sports Centre, Victoria",43296
"Drummond Street , Euston",43276
"Montpelier Street, Knightsbridge",43237
"Stonecutter Street, Holborn",43231
"Bonny Street, Camden Town",42978
"Fire Brigade Pier, Vauxhall",42892
"Fournier Street, Whitechapel",42766
"New Inn Yard, Shoreditch",42666
"Great Russell Street, Bloomsbury",42606
"Natural History Museum, South Kensington",42575
"Greenland Road, Camden Town",42398
"Watney Street, Shadwell",42245
"Tanner Street, Bermondsey",42007
"Binfield Road, Stockwell",41984
"Flamborough Street, Limehouse",41964
"Parsons Green Station, Parsons Green",41847
"Chadwell Street, Angel",41758
"New Globe Walk, Bankside",41692
"Pott Street, Bethnal Green",41584
"Howland Street, Fitzrovia",41447
"Abingdon Green, Westminster",41428
"Lancaster Gate , Bayswater",41352
"Strand, Strand",41321
"Marylebone Lane, Marylebone",41235
"Snow Hill, Farringdon",41197
"Park Road (Baker Street), The Regent's Park",41131
"Devonshire Terrace, Bayswater",40838
"Brick Lane Market, Shoreditch",40700
"Kensington Church Street, Kensington",40556
"Warwick Avenue Station, Maida Vale",40527
"Wenlock Road , Hoxton",40463
"Victoria Park Road, Hackney Central",40412
"Theobald's Road , Holborn",40301
"Westferry DLR, Limehouse",40072
"Alfred Place, Bloomsbury",39952
"Golden Square, Soho",39862
"Abbey Orchard Street, Westminster",39749
"Northington Street , Holborn",39681
"All Saints Church, Portobello",39557
"Frith Street, Soho",39374
"Rampayne Street, Pimlico",39358
"York Hall, Bethnal Green",39313
"Stamford Street, South Bank",39206
"Bramham Gardens, Earl's Court",39121
"Royal London Hospital, Whitechapel",38957
"Palace Gardens Terrace, Notting Hill",38948
"Great Titchfield Street, Fitzrovia",38824
"Panton Street, West End",38813
"Tallis Street, Temple",38759
"Cartwright Gardens , Bloomsbury",38618
"Woodstock Grove, Shepherd's Bush",38467
"Seville Street, Knightsbridge",38386
"Drayton Gardens, West Chelsea",38299
"Sloane Avenue, Knightsbridge",38250
"Golden Lane, Barbican",38021
"Devonshire Square, Liverpool Street",37929
"Pitfield Street North,Hoxton",37685
"St. Mary Axe, Aldgate",37605
"Porchester Place, Paddington",37543
"Broadcasting House, Marylebone",37437
"Southampton Place, Holborn",37429
"Shadwell Station, Shadwell",37235
"Finsbury Square , Moorgate",37202
"Bricklayers Arms, Borough",37144
"Erin Close, Walham Green",36850
"St. George's Square, Pimlico",36773
"Gloucester Street, Pimlico",36770
"Buckingham Gate, Westminster",36727
"Whiteley's, Bayswater",36278
"Chapel Place, Marylebone",36226
"Norton Folgate, Liverpool Street",36095
"Stephendale Road, Sands End",36035
"Haggerston Road, Haggerston",36022
"Dorset Square, Marylebone",36011
"Torrens Street, Angel",35961
"Monument Street, Monument",35907
"Parson's Green , Parson's Green",35856
"Brunswick Square, Bloomsbury",35748
"Portland Place, Marylebone",35633
"Old Montague Street, Whitechapel",35541
"Hertford Road, De Beauvoir Town",35536
"Jubilee Plaza, Canary Wharf",35422
"Christian Street, Whitechapel",35403
"Cardinal Place, Victoria",35237
"Eastbourne Mews, Paddington",35134
"The Green Bridge, Mile End",35127
"LMU Commercial Road, Whitechapel",35055
"Horseferry Road, Westminster",34934
"Taviton Street, Bloomsbury",34876
"Knightsbridge, Hyde Park",34848
"Broadwick Street, Soho",34835
"Old Brompton Road, South Kensington",34777
"Turquoise Island, Notting Hill",34593
"Gower Place , Euston",34560
"Tavistock Place, Bloomsbury",34560
"Gloucester Road (North), Kensington",34523
"Cadogan Gardens, Chelsea",34476
"Columbia Road, Shoreditch",34333
"Sackville Street, Mayfair",34306
"Phillimore Gardens, Kensington",34201
"Earnshaw Street , Covent Garden",34165
"Barons Court Station, West Kensington",33988
"Cadogan Close, Victoria Park",33986
"Twig Folly Bridge, Mile End",33826
"George Street, Marylebone",33811
"Stepney Green Station, Stepney",33560
"Millbank Tower, Pimlico",33461
"Ilchester Gardens, Bayswater",33458
"Ada Street, Hackney Central",33354
"Beaumont Street, Marylebone",33288
"Albert Bridge Road, Battersea Park",33162
"Vicarage Crescent, Battersea",33159
"Harriet Street, Knightsbridge",33049
"Baldwin Street, St. Luke's",32931
"Wapping Lane, Wapping",32847
"Christopher Street, Liverpool Street",32821
"City Road, Angel",32807
"Kingsway Southbound, Strand",32612
"Green Street, Mayfair",32606
"Roscoe Street, St. Luke's",32518
"Walworth Road, Elephant & Castle",32488
"Tachbrook Street, Victoria",32479
"Page Street, Westminster",32477
"Sardinia Street, Holborn",32462
"Great Percy Street, Clerkenwell",32441
"Charlotte Street, Fitzrovia",32402
"Hammersmith Road, Hammersmith",32385
"Crawford Street, Marylebone",32331
"Waterloo Road, South Bank",32327
"Ebury Bridge, Pimlico",32265
"Empire Square, The Borough",32228
"St. Chad's Street, King's Cross",32050
"Smith Square, Westminster",31994
"Euston Road, Euston",31896
"Penywern Road, Earl's Court",31862
"Queen's Gate (South), South Kensington",31672
"Windsor Terrace, Hoxton",31654
"Holy Trinity Brompton, Knightsbridge",31554
"Bell Lane, Liverpool Street",31511
"Alderney Street, Pimlico",31480
"Commercial Street, Shoreditch",31438
"Clifton Road, Maida Vale",31246
"Farringdon Lane, Clerkenwell",31198
"Olympia Way, Olympia",31191
"Barbican Centre, Barbican",31172
"East Road, Hoxton",31157
"Appold Street, Liverpool Street",31144
"Edgware Road Station, Marylebone",30878
"Kennington Oval, Oval",30818
"Embankment (Savoy), Strand",30759
"Gloucester Avenue, Camden Town",30661
"Crisp Road, Hammersmith",30610
"Caldwell Street, Stockwell",30596
"Jewry Street, Aldgate",30452
"Bishop's Bridge Road West, Bayswater",30374
"Lower Marsh, Waterloo",30367
"Normand Park, West Kensington",30262
"Grosvenor Square, Mayfair",30239
"Southwick Street, Paddington",30233
"Fisherman's Walk West, Canary Wharf",30208
"North Audley Street, Mayfair",30177
"New Cavendish Street, Marylebone",30144
"Reardon Street, Wapping",30048
"Ontario Street, Elephant & Castle",30031
"Chelsea Bridge, Pimlico",29993
"St. Peter's Terrace, Fulham",29980
"Prince Albert Road, The Regent's Park",29975
"Bell Street , Marylebone",29924
"Old Ford Road, Bethnal Green",29849
"De Vere Gardens, Kensington",29795
"Cephas Street, Bethnal Green",29718
"Red Lion Square, Holborn",29691
"Percival Street, Finsbury",29675
"Cloudesley Road, Angel",29654
"Bury Place, Holborn",29607
"Macclesfield Rd, St Lukes",29593
"The Tennis Courts, The Regent's Park",29574
"Snowsfields, London Bridge",29520
"Goldsmith's Row, Haggerston",29476
"Prince Consort Road, Knightsbridge",29305
"Rodney Road , Walworth",29255
"Swan Street, The Borough",29206
"Wellington Row, Bethnal Green",29172
"Fore Street, Guildhall",29116
"Union Street, The Borough",28996
"Durant Street, Bethnal Green",28772
"Northdown Street, King's Cross",28678
"St. Katharine's Way, Tower",28657
"Queen's Gate (North), Kensington",28609
"Royal College Street, Camden Town",28584
"Portman Square, Marylebone",28506
"Harrington Square 2, Camden Town",28485
"Chesilton Road, Fulham",28481
"Phene Street, Chelsea",28412
"Kennington Road  , Vauxhall",28382
"Blenheim Crescent, Ladbroke Grove",28268
"Albert Gardens, Stepney",28264
"Manresa Road, Chelsea",28253
"Sutton Street, Shadwell",28172
"Crinan Street, King's Cross",28143
"Borough High Street, The Borough",28107
"Coomer Place, West Kensington",28043
"St. Martin's Street, West End",27892
"Hereford Road, Bayswater",27717
"Westbourne Grove, Bayswater",27713
"Ampton Street , Clerkenwell",27706
"Concert Hall Approach 1, South Bank",27604
"Lansdowne Road, Ladbroke Grove",27522
"Nutford Place, Marylebone",27386
"Finsbury Library , Finsbury",27373
"Jubilee Street, Stepney",27341
"Maclise Road, Olympia",27300
"Chepstow Villas, Notting Hill",27243
"Queen's Gate (Central), South Kensington",27207
"Warwick Square, Pimlico",27169
"Baker Street, Marylebone",27154
"North Wharf Road, Paddington",27149
"Wandsworth Town Station, Wandsworth",27079
"Fashion Street, Whitechapel",27062
"Westfield Library Corner, Shepherd's Bush",27040
"Concert Hall Approach 2, South Bank",26995
"Bedford Way, Bloomsbury",26939
"New Road 1 , Whitechapel",26927
"Grove End Road, St. John's Wood",26922
"Long Lane , Bermondsey",26917
"Driffield Road, Old Ford",26905
"Philpot Street, Whitechapel",26771
"Parkway, Camden Town",26736
"Royal Avenue 2, Chelsea",26706
"Newton Street, Covent Garden",26697
"Danvers Street, West Chelsea",26692
"Podium, Queen Elizabeth Olympic Park",26656
"Hardwick Street, Clerkenwell",26550
"Charles II Street, West End",26525
"Great Suffolk Street, The Borough",26487
"Hoxton Station, Hoxton",26426
"Great Dover Street, The Borough",26374
"Margery Street, Clerkenwell",26360
"Globe Town Market, Bethnal Green",26290
"Scala Street, Fitzrovia",26164
"St. George Street, Mayfair",26130
"Pont Street, Knightsbridge",26108
"Saunders Ness Road, Cubitt Town",26092
"Wood Street, Guildhall",26075
"Garnet Street, Shadwell",26007
"Gunmakers Lane, Old Ford",25897
"Seymour Place, Marylebone",25858
"Fanshaw Street, Hoxton",25833
"London Zoo Car Park, The Regent's Park",25791
"Albert Embankment, Vauxhall",25754
"Arlington Road, Camden Town",25753
"Park Street, Bankside",25650
"St. Luke's Church, Chelsea",25588
"Harcourt Terrace, West Brompton",25585
"West Cromwell Road, Earl's Court",25578
"Westminster University, Marylebone",25545
"Clinton Road, Mile End",25456
"Archbishop's Park, Waterloo",25456
"Albany Street, The Regent's Park",25270
"Rainville Road, Hammersmith",25187
"Butler Place, Westminster",25156
"Bethnal Green Garden, Bethnal Green",25129
"Salmon Lane, Limehouse",25111
"Lexham Gardens, Kensington",25090
"Bow Road Station, Bow",25038
"Putney Bridge Station, Fulham",25001
"Black Prince Road, Vauxhall",24971
"Greyhound Road, Hammersmith",24929
"Grant Road East, Clapham Junction",24923
"Cheshire Street, Bethnal Green",24900
"Watney Market, Stepney",24888
"Westbourne Park Road, Portobello",24849
"Eaton Square, Belgravia",24742
"Paddington Street, Marylebone",24716
"Pancras Road, King's Cross",24640
"Furze Green, Bow",24636
"Knaresborough Place, Earl's Court",24610
"St. John Street, Finsbury",24592
"Foley Street, Fitzrovia",24563
"Finlay Street, Fulham",24534
"Riverlight North, Nine Elms",24518
"Regency Street, Westminster",24437
"Shouldham Street, Marylebone",24433
"Doddington Grove, Kennington",24359
"Kensington Gore, Knightsbridge",24342
"Park Lane, Mayfair",24279
"Lollard Street, Vauxhall",24227
"Tyers Gate, Bermondsey",24164
"Surrey Lane, Battersea",24117
"Prince of Wales Drive, Battersea Park",24111
"World's End Place, West Chelsea",24035
"Hartington Road, Stockwell",24006
"Lambeth North Station, Waterloo",23995
"Emperor's Gate, South Kensington",23877
"High Holborn , Covent Garden",23865
"Bridge Avenue, Hammersmith",23852
"Gloucester Road (Central), South Kensington",23836
"Falkirk Street, Hoxton",23804
"Simpson Street, Clapham Junction",23800
"Sandilands Road, Walham Green",23786
"New Kent Road, The Borough",23661
"Battersea Church Road, Battersea",23656
"Michael Road, Walham Green",23589
"Hampton Street, Walworth",23576
"Shoreditch Court, Haggerston",23558
"The Guildhall, Guildhall",23532
"Rathbone Street, Fitzrovia",23530
"St. John's Wood Road, St. John's Wood",23503
"Claverton Street, Pimlico",23255
"Claremont Square, Angel",23247
"St. Mark's Road, North Kensington",23246
"Southwark Station 1, Southwark",23216
"Queen Mary's, Mile End",23164
"Upper Bank Street, Canary Wharf",23159
"Goswell Road (City Uni), Finsbury",23133
"King Edward Street, St Pauls",22956
"Gloucester Terrace, Bayswater",22843
"Carnegie Street, King's Cross",22782
"The Vale, West Chelsea",22743
"Ormonde Gate, Chelsea",22705
"Bancroft Road, Bethnal Green",22661
"Murray Grove , Hoxton",22653
"Strata, Elephant & Castle",22646
"Austin Road, Battersea Park",22631
"Cleveland Way, Stepney",22589
"George Place Mews, Marylebone",22558
"Woodstock Street, Mayfair",22436
"Fulham Park Road, Fulham",22356
"Union Grove, Wandsworth Road",22271
"Pembridge Villas, Notting Hill",22192
"Mile End Stadium, Mile End",22175
"Vincent Street, Pimlico",22120
"Warwick Road, Olympia",22111
"Trebovir Road, Earl's Court",22086
"Chancery Lane, Holborn",22022
"Aintree Street, Fulham",21915
"Waterloo Bridge, South Bank",21903
"Charlotte Terrace, Angel",21883
"Walnut Tree Walk, Vauxhall",21846
"Holland Park, Kensington",21801
"Mile End Park Leisure Centre, Mile End",21799
"South Park, Sands End",21764
"Royal Avenue 1, Chelsea",21761
"Cleveland Gardens, Bayswater",21754
"William Morris Way, Sands End",21747
"Bishop's Avenue, Fulham",21647
"Wandsworth Rd, Isley Court, Wandsworth Road",21610
"London Zoo,  The Regent's Park",21583
"Hoxton Street, Hoxton",21503
"Nevern Place, Earl's Court",21477
"Imperial Road, Sands End",21473
"Hortensia Road, West Brompton",21440
"Thorndike Close, West Chelsea",21389
"Curzon Street, Mayfair",21263
"Clifford Street, Mayfair",21246
"Brook Green South, Brook Green",21139
"Finnis Street, Bethnal Green",21116
"Risinghill Street, Angel",21041
"Humbolt Road, Fulham",21025
"Pitfield Street Central, Hoxton",20969
"Osiers Road, Wandsworth",20940
"Lower Thames Street, Monument",20919
"Vereker Road North, West Kensington",20916
"Vauxhall Bridge , Pimlico",20903
"Richmond Way, Shepherd's Bush",20799
"Antill Road, Mile End",20791
"River Street , Clerkenwell",20708
"Colombo Street, Southwark",20702
"Queensbridge Road, Haggerston",20616
"Silverthorne Road, Battersea",20502
"Ashley Crescent, Battersea",20463
"Collingham Gardens, Earl's Court",20441
"Palissy Street, Shoreditch",20424
"Wapping High Street, Wapping",20386
"Tate Modern, Bankside",20356
"Battersea Park Road, Nine Elms",20339
"South Lambeth Road, Vauxhall",20294
"Millennium Hotel, Mayfair",20275
"St. John's Road, Clapham Junction",20244
"Eversholt Street , Camden Town",20126
"West Kensington Station, West Kensington",20039
"Chelsea Green, Chelsea",20037
"Whiston Road, Haggerston",19997
"Houndsditch, Aldgate",19933
"Rochester Row, Westminster",19900
"Argyll Road, Kensington",19860
"Longford Street, The Regent's Park",19816
"Good's Way, King's Cross",19787
"Lots Road, West Chelsea",19755
"Clifton Street, Shoreditch",19752
"Everington Street, Fulham",19613
"Beryl Road, Hammersmith",19496
"All Saints' Road, Portobello",19441
"Lambeth Road, Vauxhall",19433
"Webber Street , Southwark",19411
"Aberdeen Place, St. John's Wood",19391
"Bruton Street, Mayfair",19359
"Abingdon Villas, Kensington",19328
"Mostyn Grove, Bow",19320
"Eel Brook Common, Walham Green",19312
"Disraeli Road, Putney",19294
"Belgrave Square, Belgravia",19270
"St. John's Wood Church, The Regent's Park",19215
"Harford Street, Mile End",19213
"Crabtree Lane, Fulham",19178
"Alfreda Street, Battersea Park",19176
"Borough Road, Elephant & Castle",19074
"Charing Cross Hospital, Hammersmith",19059
"Ram Street, Wandsworth",19037
"Wellington Road, St. John's Wood",19014
"Stanhope Gate, Mayfair",19000
"Bourne Street, Belgravia",18992
"Bow Church Station, Bow",18935
"Upcerne Road, West Chelsea",18887
"Harrowby Street, Marylebone",18843
"Cadogan Place, Knightsbridge",18836
"Bishop's Bridge Road East, Bayswater",18815
"Ravenscourt Park Station, Hammersmith",18786
"Central House, Aldgate",18766
"Breams Buildings, Holborn",18695
"Guildhouse Street, Victoria",18674
"Star Road, West Kensington",18654
"Grosvenor Road, Pimlico",18625
"Belford House, Haggerston",18531
"Sumner Place, South Kensington",18531
"Irene Road, Parsons Green",18416
"Montgomery Square, Canary Wharf",18399
"Kennington Lane Tesco, Vauxhall",18349
"Rectory Square, Stepney",18338
"LSBU (Borough Road), Elephant & Castle",18314
"Lambeth Palace Road, Waterloo",18298
"Hollybush Gardens, Bethnal Green",18297
"Kennington Station, Kennington",18210
"Shepherd's Bush Road North, Shepherd's Bush",18121
"Ansell House, Stepney",18115
"Vauxhall Walk, Vauxhall",18022
"Kennington Road Post Office, Oval",18020
"Melton Street, Euston",18016
"Buxton Street 1, Shoreditch",17931
"Princedale Road , Holland Park",17914
"Charlbert Street, St. John's Wood",17888
"Westfield Southern Terrace ,Shepherd's Bush",17866
"Felsham Road, Putney",17782
"Sancroft Street, Vauxhall",17701
"Lavington Street, Bankside",17636
"Aylward Street, Stepney",17636
"Ashmole Estate, Oval",17608
"Ford Road, Old Ford",17595
"Hermitage Court, Wapping",17499
"Rossmore Road, Marylebone",17487
"Gaywood  Street, Elephant & Castle",17466
"Imperial Wharf Station, Sands End",17350
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",17282
"Dorothy Road, Clapham Junction",17253
"BBC White City, White City",17151
"Princes Square, Bayswater",17008
"Eaton Square (South), Belgravia",16894
"Lindfield Street, Poplar",16865
"Blackfriars Road, Southwark",16746
"The Vale, Chelsea",16634
"Lisson Grove, St. John's Wood",16557
"Burdett Road, Mile End",16524
"Grafton Street, Mayfair",16447
"Carey Street, Holborn",16442
"Birkenhead Street, King's Cross",16320
"Wendon Street, Old Ford",16266
"Hewison Street, Old Ford",16251
"New North Road 2, Hoxton",16189
"Vincent Square, Westminster",16140
"Frampton Street, Paddington",16124
"Houghton Street, Strand",15986
"Gwendwr Road, West Kensington",15935
"Kensington Olympia Station, Olympia",15876
"Sail Street, Vauxhall",15854
"Courland Grove, Wandsworth Road",15844
"Cotton Garden Estate, Kennington",15795
"Sopwith Way, Battersea Park",15746
"Hammersmith Town Hall, Hammersmith",15726
"Hansard Mews, Holland Park",15647
"Greycoat Street , Westminster",15634
"South Parade, Chelsea",15630
"East Village, Queen Elizabeth Olympic Park",15602
"Sheepcote Lane, Battersea",15340
"Calshot Street , King's Cross",15328
"Portugal Street, Holborn",15298
"Orbel Street, Battersea",15292
"Kensington Town Hall, Kensington",15042
"Clarence Walk, Stockwell",14996
"South Audley Street, Mayfair",14877
"Devons Road, Bow",14826
"Paddington Green Police Station, Paddington",14822
"Southerton Road, Hammersmith",14810
"Manbre Road, Hammersmith",14761
"Vaughan Way, Wapping",14739
"Monier Road, Hackney Wick",14708
"Vicarage Gate, Kensington",14669
"Southern Grove, Bow",14660
"Victoria & Albert Museum, South Kensington",14599
"Chrisp Street Market, Poplar",14579
"One Tower Bridge, Bermondsey",14396
"Timber Lodge, Queen Elizabeth Olympic Park",14347
"Stainsby Road , Poplar",14339
"Blythe Road West, Shepherd's Bush",14301
"Grosvenor Crescent, Belgravia",14288
"Smugglers Way, Wandsworth",14235
"Usk Road, Clapham Junction",14235
"Farm Street, Mayfair",14153
"Clarkson Street, Bethnal Green",14117
"Thurtle Road, Haggerston",14093
"Denyer Street, Knightsbridge",13946
"Campden Hill Road, Notting Hill",13876
"Sugden Road, Clapham",13823
"Marloes Road, Kensington",13817
"Neville Gill Close, Wandsworth",13781
"East India DLR, Blackwall",13668
"Little Brook Green, Brook Green",13617
"Lightermans Road, Millwall",13459
"Harper Road, The Borough",13456
"Cleaver Street, Kennington",13433
"Hampstead Road (Cartmel), Euston",13271
"Hawley Crescent, Camden Town",13034
"Ranelagh Gardens, Fulham",13032
"Clapham Common North side, Clapham Common",12594
"Pennington Street, Wapping",12524
"Penfold Street, Marylebone",12489
"Broadley Terrace, Marylebone",12477
"Dock Street, Wapping",12291
"Clarendon Road, Avondale",12262
"Stratford Station, Stratford",12155
"New North Road 1, Hoxton",12115
"Elysium Place, Fulham",12112
"Napier Avenue, Millwall",12076
"Copper Box Arena, Queen Elizabeth Olympic Park",11941
"Putney Pier, Wandsworth",11935
"Russell Gardens, Olympia",11850
"Dickens Square, Borough",11683
"Aston Street, Stepney",11658
"Spindrift Avenue, Millwall",11621
"Heron Quays DLR, Canary Wharf",11597
"Selby Street, Whitechapel",11409
"Stanley Grove, Battersea",11354
"Queen Street, Bank",11328
"Canton Street, Poplar",11279
"Northfields, Wandsworth",11244
"Abyssinia Close, Clapham Junction",11184
"Halford Road, West Kensington",11166
"Addison Road, Holland Park",11116
"Plough Terrace, Clapham Junction",10995
"Rodney Street, Angel",10958
"Walmer Road, Avondale",10850
"Greenberry Street, St.John's Wood",10711
"Killick Street, King's Cross",10704
"Culvert Road, Battersea",10668
"Upper Grosvenor Street, Mayfair",10657
"Bradmead, Battersea Park",10643
"Westfield Ariel Way, White City",10587
"Putney Rail Station, Putney",10560
"St Martins Close, Camden Town",10558
"Alma Road, Wandsworth",10533
Imperial Wharf Station,10495
"Ackroyd Drive, Bow",10442
"Hibbert Street, Battersea",10441
"Teversham Lane, Stockwell",10408
"Montserrat Road , Putney",10391
"Cromer Street, Bloomsbury",10372
"Clapham Common North Side, Clapham Common",10327
"King Edward Walk, Waterloo",10252
"Clarges Street, Mayfair",10191
"Mallory Street, Marylebone",10085
"Peterborough Road, Sands End",10066
"Grenfell Road, Avondale",9961
"Paddington Green, Paddington",9955
"Vauxhall Street, Vauxhall",9929
"Heath Road, Battersea",9918
"Lincoln's Inn Fields, Holborn",9916
"Geraldine Street, Elephant & Castle",9905
"Abbotsbury Road, Holland Park",9834
"Ilchester Place, Kensington",9754
"Belvedere Road 1, South Bank",9734
"Southwark Street, Bankside",9720
"Westferry Circus, Canary Wharf",9707
"Westminster Bridge Road, Elephant & Castle",9565
"Ossulston Street, Somers Town",9416
"Alpha Grove, Millwall",9407
"Orsett Terrace, Bayswater",9280
"Coram Street, Bloomsbury",9205
"Putney Bridge Road, East Putney",9120
"Jubilee Crescent, Cubitt Town",9117
"Rifle Place, Avondale",9112
"Hurlingham Park, Parsons Green",9046
"Green Park Station, West End",8850
"Lord's, St. John's Wood",8824
"Kings Gate House, Westminster",8622
"Holden Street, Battersea",8579
"Riverlight South, Nine Elms",8556
"Albert Square, Stockwell",8549
"Thessaly Road North, Wandsworth Road",8467
"Harrington Square 1, Camden Town",8326
"East Ferry Road, Cubitt Town",8295
"Bevington Road West, North Kensington",8247
"Ladbroke Grove Central, Ladbroke Grove",8182
"Broomhouse Lane, Parsons Green",8075
"Cantrell Road, Bow",8057
"Lancaster Drive, Blackwall",7948
"Naval Row, Blackwall",7947
"Upper Richmond Road, Putney",7729
"Bromley High Street, Bow",7720
"Newby Place, Poplar",7564
"St. Mary & St. Michael Church, Stepney",7454
"Vereker Road, West Kensington",7412
"Clapham Road, Lingham Street, Stockwell",7326
"Freston Road, Avondale",7240
"Handyside Street, King's Cross",7234
"Evesham Street, Avondale",7158
"Hibbert Street, Clapham Junction",7145
"Queensdale Road, Shepherd's Bush",6994
"Oval Way, Vauxhall",6994
"Mudchute DLR, Cubitt Town",6974
"Belvedere Road 2, South Bank",6809
"Sirdar Road, Avondale",6723
"Lansdowne Walk, Ladbroke Grove",6697
"Ingrave Street, Clapham Junction",6604
"Embankment (Horse Guards), Westminster",6564
"Preston's Road, Cubitt Town",6485
"Stewart's Road, Wandsworth Road",6478
"Langdon Park, Poplar",6400
"Exhibition Road Museums, Knightsbridge",6353
"Spencer Park, Wandsworth Common",6324
"Mexfield Road, East Putney",6302
"Stebondale Street, Cubitt Town",5641
